,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
574,0,0,0,0,0,0,0,0,0,0,0,0
575,0.754658498,0.8350095,0.8350095,0.8350095,0.513170597,0.513170597,0.513170597,0.513170597,0.513170597,0.513170597,0.513170597,0.513170597
576,0.623487525,0.798157173,0.654869089,0.623487525,0.623487525,0.623487525,0.623487525,0,0,0,0,0.623487525
577,0,0,0,0,0,0,0,0,0,0,0,0
578,0,0.434946185,0.434946185,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0,0,0,0
580,0,0.704224734,0.704224734,0,0,0,0,0,0,0,0,0
581,0,0.629092668,0,0,0,0,0,0,0,0,0,0
582,0,0.050363877,0.050363877,0,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,0,0
584,0,0.009529518,0.009529518,0,0,0,0,0,0,0,0,0
585,0,0.280696151,0.280696151,0,0,0,0,0,0,0,0,0
586,0,0.752795169,0.752795169,0,0,0,0,0,0,0,0,0
587,0,0.763634276,0.759543345,0,0,0,0,0,0,0,0,0
588,0,0.626168766,0.050854324,0,0,0,0,0,0,0,0,0
589,0,0.364594298,0.364594298,0,0,0,0,0,0,0,0,0
590,0,0.628465045,0.628465045,0,0,0,0,0,0,0,0,0
591,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
592,0,0.212305583,0.208347948,0,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0,0,0
